"inegi","afro","indigena","resto"
"01001",0.38,0.87,98.75
"01002",0.29,0.06,99.65
"01003",0.32,0.4,99.28
"01004",0.43,0.11,99.46
"01005",0.21,0.53,99.26
"01006",0.17,0.39,99.45
"01007",1.12,0.46,98.43
"01008",0.61,0.4,98.98
"01009",0.3,0.47,99.23
"01010",0.3,0.15,99.55
"01011",0.92,0.5,98.57
"02001",0.44,10.03,89.52
"02002",0.26,1.21,98.53
"02003",0.66,2.57,96.77
"02004",0.73,2.26,97.01
"02005",0.79,3.96,95.25
"03001",0.48,2.31,97.21
"03002",11.3,6.98,81.72
"03003",1.05,1.48,97.47
"03008",2.25,3.83,93.92
"03009",0.37,1.42,98.21
"04001",0.25,80.72,19.03
"04002",1.86,15.68,82.46
"04003",1.11,4.31,94.59
"04004",0.9,22.53,76.56
"04005",0.4,68.87,30.74
"04006",0.26,63.81,35.94
"04007",0.49,1.87,97.65
"04008",0.58,47.66,51.76
"04009",0.69,16.3,83.01
"04010",1.61,41.24,57.15
"04011",1.14,12.39,86.47
"05001",NA,NA,100
"05002",0.27,0.78,98.95
"05003",0.26,0.28,99.46
"05004",2.06,0.25,97.68
"05005",1.54,0.3,98.16
"05006",0.08,0.13,99.79
"05007",0.29,0.37,99.34
"05008",0.62,0.1,99.28
"05009",0.3,0.3,99.4
"05010",0.21,0.31,99.47
"05011",0.33,0.11,99.56
"05012",0.06,1.9,98.04
"05013",0.39,NA,99.61
"05014",0.13,0.02,99.85
"05015",NA,NA,100
"05016",0.4,0.11,99.49
"05017",0.19,0.09,99.72
"05018",0.16,0.28,99.56
"05019",0.12,0.29,99.59
"05020",3.73,0.54,95.74
"05021",0.33,0.05,99.63
"05022",0.05,0.57,99.37
"05023",1.46,0.15,98.39
"05024",0.37,0.24,99.39
"05025",0.36,0.69,98.95
"05026",0.61,0.27,99.12
"05027",0.26,1.16,98.58
"05028",0.23,0.64,99.12
"05029",2.76,NA,97.24
"05030",0.31,0.48,99.22
"05031",0.14,0.32,99.54
"05032",0.32,0.48,99.21
"05033",0.25,0.26,99.49
"05034",0.06,0.17,99.77
"05035",0.3,0.45,99.25
"05036",0.35,0.06,99.59
"05037",0.03,0.14,99.83
"05038",0.18,0.38,99.45
"06001",1.03,1.72,97.25
"06002",0.25,0.87,98.88
"06003",0.17,1.24,98.59
"06004",0.12,0.37,99.5
"06005",0.22,0.83,98.95
"06006",0.13,0.73,99.14
"06007",1.15,2.06,96.79
"06008",1.51,0.53,97.95
"06009",0.37,2.52,97.11
"06010",0.49,0.56,98.95
"07001",0.18,0.61,99.21
"07002",0.16,11.4,88.44
"07003",1.17,0.51,98.31
"07004",0.09,83.01,16.9
"07005",0.24,31.43,68.33
"07006",1.68,4.72,93.59
"07007",0.05,83.51,16.44
"07008",0.09,4.68,95.23
"07009",0.22,0.99,98.79
"07010",0.06,1.52,98.43
"07011",0.11,2.46,97.43
"07012",0.16,7.51,92.33
"07013",2.98,63.27,33.75
"07014",0.15,98.58,1.26
"07015",0.33,4.78,94.9
"07016",0.21,3.68,96.11
"07017",0.15,9.85,90
"07018",0.19,23.68,76.14
"07019",0.16,7.37,92.47
"07020",0.07,10.67,89.26
"07021",1.15,17.7,81.15
"07022",0.29,99.66,0.05
